Operation,Median_ms,Mean_ms,Std_ms
Enrollment_wallet,422.610894500167,423.5062384000139,3.6854647692431968
Enrollment_CA,13.55247000003601,13.555404759990779,0.24683631477936926
Retrieval_CA,445.56470750001154,446.1201499200024,3.0929456245832023
Retrieval_wallet,3.2664374999740176,3.2825354999931733,0.05621583681781963
ECDSA_sign,6.688790999987759,6.702604179990885,0.06437726503450725
Total_enrollment,,437.0616431600047,
Total_authentication,,456.10528959998646,

Threshold_t,Threshold_n,Quorum,Median_ms,Mean_ms,Std_ms
1,3,2,443.44238500002575,443.8170462000062,2.2310359360367027
2,5,3,448.0656430000636,448.5598271799927,3.115410405708108
3,7,4,457.55267799995636,457.6980051599867,3.385378739026857
5,10,6,466.5484964998541,467.7549591399975,5.844501379024367
