Operation,Median_ms,Mean_ms,Std_ms
Enrollment_wallet,419.43048749999434,419.9938223199888,3.3390743518498587
Enrollment_CA,13.798624000060045,13.840522199998304,0.3300947180612326
Retrieval_CA,446.83333049999874,447.05430762000105,3.4964547624045403
Retrieval_wallet,3.212649499971576,3.246172039994235,0.08698775449944247
ECDSA_sign,6.8340615000010985,6.856217399988509,0.10818582868321089
Total_enrollment,,433.8343445199871,
Total_authentication,,457.1566970599838,

Threshold_t,Threshold_n,Quorum,Median_ms,Mean_ms,Std_ms
1,3,2,443.4635339999886,444.2192004799972,3.8423562952858945
2,5,3,446.08210650000046,446.67406159999246,2.8633435873143624
3,7,4,453.7748859999624,453.8268936000054,2.821911748424289
5,10,6,464.3013659999724,464.5188769399897,2.9153672064258753
